Начальные точки:
x: -3.5, y: 19.593
x: 3.5, y: 6.90699
Итерация 1: x: 1.75, y: 0.211717
Итерация 2: x: 0.391464, y: 1.07567
Итерация 3: x: 1.11612, y: 0.802588
Итерация 4: x: 2.27324, y: 0.634879
Итерация 5: x: -0.64882, y: 1.75568
Итерация 6: x: -0.101504, y: 1.01169
Итерация 7: x: 1.45667, y: 0.43482
Итерация 8: x: 0.764706, y: 1.05451
Итерация 9: x: 1.99471, y: 0.239604
Итерация 10: x: 2.63598, y: 1.82896
Итерация 11: x: 1.61225, y: 0.292036
Итерация 12: x: 1.87124, y: 0.193685
Итерация 13: x: 0.142423, y: 1.01645
Итерация 14: x: -1.36162, y: 5.17096
Итерация 15: x: 1.30003, y: 0.605468
Итерация 16: x: 2.11933, y: 0.36302
Итерация 17: x: -0.347584, y: 1.17547
Итерация 18: x: 0.949752, y: 0.948985
Итерация 19: x: 1.6841, y: 0.243318
Итерация 20: x: 1.81129, y: 0.195537
Итерация 21: x: 1.93127, y: 0.207169
Итерация 22: x: 0.57887, y: 1.09325
Итерация 23: x: 1.53976, y: 0.353378
Итерация 24: x: 2.05244, y: 0.286561
Итерация 25: x: 2.41035, y: 0.99495
Итерация 26: x: 2.18621, y: 0.464324
Итерация 27: x: 1.38468, y: 0.511678
Итерация 28: x: 1.84133, y: 0.192785
Итерация 29: x: 1.78124, y: 0.201764
Итерация 30: x: 1.90076, y: 0.198309
Итерация 31: x: 1.71822, y: 0.225245
Итерация 32: x: 1.96179, y: 0.22035
Итерация 33: x: 1.64998, y: 0.264765
Итерация 34: x: 2.02184, y: 0.259532
Итерация 35: x: 1.57828, y: 0.319443
Итерация 36: x: 1.21538, y: 0.69885
Итерация 37: x: 1.85625, y: 0.192768
Итерация 38: x: 1.82641, y: 0.193705
Итерация 39: x: 1.88583, y: 0.195495
Итерация 40: x: 1.7965, y: 0.19818
Итерация 41: x: 2.08305, y: 0.318539
Итерация 42: x: 1.91569, y: 0.202114
Итерация 43: x: 1.76599, y: 0.206194
Итерация 44: x: 1.94604, y: 0.212998
Итерация 45: x: 1.73461, y: 0.217853
Итерация 46: x: 1.50123, y: 0.389913
Итерация 47: x: 1.97754, y: 0.228896
Итерация 48: x: 1.70183, y: 0.233486
Итерация 49: x: 1.66784, y: 0.25314
Итерация 50: x: 1.84879, y: 0.192662
Итерация 51: x: 1.86371, y: 0.193106
Итерация 52: x: 1.83391, y: 0.193131
Итерация 53: x: 1.81892, y: 0.194501
Итерация 54: x: 1.87847, y: 0.194467
Итерация 55: x: 1.89319, y: 0.19676
Итерация 56: x: 1.80399, y: 0.196737
Итерация 57: x: 1.789, y: 0.199834
Итерация 58: x: 1.90808, y: 0.20005
Итерация 59: x: 1.63213, y: 0.277229
Итерация 60: x: 1.92329, y: 0.204441
Итерация 61: x: 1.77378, y: 0.203827
Итерация 62: x: 1.7582, y: 0.208774
Итерация 63: x: 2.00754, y: 0.248561
Итерация 64: x: 1.93844, y: 0.209871
Итерация 65: x: 1.74253, y: 0.214595
Итерация 66: x: 1.95364, y: 0.216399
Итерация 67: x: 1.72669, y: 0.221317
Итерация 68: x: 1.85252, y: 0.192687
Итерация 69: x: 1.84507, y: 0.192695
Итерация 70: x: 1.85997, y: 0.192908
Итерация 71: x: 1.83763, y: 0.19293
Итерация 72: x: 1.86746, y: 0.193364
Итерация 73: x: 1.83018, y: 0.193389
Итерация 74: x: 1.8227, y: 0.194072
Итерация 75: x: 1.81514, y: 0.194986
Итерация 76: x: 2.03614, y: 0.271554
Итерация 77: x: 1.87483, y: 0.194045
Итерация 78: x: 1.88211, y: 0.194947
Итерация 79: x: 1.88946, y: 0.19609
Итерация 80: x: 1.96935, y: 0.2243
Итерация 81: x: 1.80768, y: 0.196104
Итерация 82: x: 1.89692, y: 0.197491
Итерация 83: x: 1.8003, y: 0.197422
Итерация 84: x: 1.79281, y: 0.198968
Итерация 85: x: 1.71033, y: 0.229108
Итерация 86: x: 1.90436, y: 0.199134
Итерация 87: x: 1.7852, y: 0.200754
Итерация 88: x: 1.91181, y: 0.201029
Итерация 89: x: 1.98573, y: 0.23382
Итерация 90: x: 1.9194, y: 0.203219
Итерация 91: x: 1.77759, y: 0.20275
Итерация 92: x: 1.69333, y: 0.238083
Итерация 93: x: 1.76997, y: 0.204957
Итерация 94: x: 1.92718, y: 0.205734
Итерация 95: x: 1.85066, y: 0.192667
Итерация 96: x: 1.84693, y: 0.192672
Итерация 97: x: 1.85438, y: 0.19272
Итерация 98: x: 1.8432, y: 0.192733
Итерация 99: x: 1.85811, y: 0.192831
Итерация 100: x: 1.83949, y: 0.19285
Итерация 101: x: 1.86184, y: 0.192999
Итерация 102: x: 1.83578, y: 0.193023
Итерация 103: x: 1.86558, y: 0.193227
Итерация 104: x: 1.83205, y: 0.193252
Итерация 105: x: 1.86934, y: 0.193516
Итерация 106: x: 1.82831, y: 0.193539
Итерация 107: x: 1.76219, y: 0.207426
Итерация 108: x: 1.82457, y: 0.193881
Итерация 109: x: 1.82082, y: 0.194278
Итерация 110: x: 1.87302, y: 0.193857
Итерация 111: x: 1.87663, y: 0.194247
Итерация 112: x: 1.81705, y: 0.194734
Итерация 113: x: 1.81324, y: 0.195251
Итерация 114: x: 1.88027, y: 0.194697
Итерация 115: x: 1.75421, y: 0.210177
Итерация 116: x: 1.88395, y: 0.19521
Итерация 117: x: 1.88762, y: 0.195782
Итерация 118: x: 1.80951, y: 0.195811
Итерация 119: x: 1.8913, y: 0.196413
Итерация 120: x: 1.80586, y: 0.19641
Итерация 121: x: 1.93476, y: 0.208452
Итерация 122: x: 1.89503, y: 0.197112
Итерация 123: x: 1.80217, y: 0.197069
Итерация 124: x: 1.89881, y: 0.197885
Итерация 125: x: 1.79843, y: 0.197789
Итерация 126: x: 2.14901, y: 0.404855
Итерация 127: x: 1.94213, y: 0.211353
Итерация 128: x: 1.79468, y: 0.198561
Итерация 129: x: 1.84973, y: 0.192663
