Начальные пробные точки:
x: -3.5, y: 19.593
x: 3.5, y: 6.90699
Добавлена точка: x = 1.75, y = 0.211717
Добавлена точка: x = 0.391464, y = 1.07567
Добавлена точка: x = 1.11612, y = 0.802588
Добавлена точка: x = 2.27324, y = 0.634879
Добавлена точка: x = -0.64882, y = 1.75568
Добавлена точка: x = -0.101504, y = 1.01169
Добавлена точка: x = 1.45667, y = 0.43482
Добавлена точка: x = 0.764706, y = 1.05451
Добавлена точка: x = 1.99471, y = 0.239604
Добавлена точка: x = 2.63598, y = 1.82896
Добавлена точка: x = 1.61225, y = 0.292036
Добавлена точка: x = 1.87124, y = 0.193685
Добавлена точка: x = 0.142423, y = 1.01645
Добавлена точка: x = -1.36162, y = 5.17096
Добавлена точка: x = 1.30003, y = 0.605468
Добавлена точка: x = 2.11933, y = 0.36302
Добавлена точка: x = -0.347584, y = 1.17547
Добавлена точка: x = 0.949752, y = 0.948985
Добавлена точка: x = 1.6841, y = 0.243318
Добавлена точка: x = 1.81129, y = 0.195537
Добавлена точка: x = 1.93127, y = 0.207169
Добавлена точка: x = 0.57887, y = 1.09325
Добавлена точка: x = 1.53976, y = 0.353378
Добавлена точка: x = 2.05244, y = 0.286561
Добавлена точка: x = 2.41035, y = 0.99495
Добавлена точка: x = 2.18621, y = 0.464324
Добавлена точка: x = 1.38468, y = 0.511678
Добавлена точка: x = 1.84133, y = 0.192785
Добавлена точка: x = 1.78124, y = 0.201764
Добавлена точка: x = 1.90076, y = 0.198309
Добавлена точка: x = 1.71822, y = 0.225245
Добавлена точка: x = 1.96179, y = 0.22035
Добавлена точка: x = 1.64998, y = 0.264765
Добавлена точка: x = 2.02184, y = 0.259532
Добавлена точка: x = 1.57828, y = 0.319443
Добавлена точка: x = 1.21538, y = 0.69885
Добавлена точка: x = 1.85625, y = 0.192768
Добавлена точка: x = 1.82641, y = 0.193705
Добавлена точка: x = 1.88583, y = 0.195495
Добавлена точка: x = 1.7965, y = 0.19818
Добавлена точка: x = 2.08305, y = 0.318539
Добавлена точка: x = 1.91569, y = 0.202114
Добавлена точка: x = 1.76599, y = 0.206194
Добавлена точка: x = 1.94604, y = 0.212998
Добавлена точка: x = 1.73461, y = 0.217853
Добавлена точка: x = 1.50123, y = 0.389913
Добавлена точка: x = 1.97754, y = 0.228896
Добавлена точка: x = 1.70183, y = 0.233486
Добавлена точка: x = 1.66784, y = 0.25314
Добавлена точка: x = 1.84879, y = 0.192662
Добавлена точка: x = 1.86371, y = 0.193106
Добавлена точка: x = 1.83391, y = 0.193131
Добавлена точка: x = 1.81892, y = 0.194501
Добавлена точка: x = 1.87847, y = 0.194467
Добавлена точка: x = 1.89319, y = 0.19676
Добавлена точка: x = 1.80399, y = 0.196737
Добавлена точка: x = 1.789, y = 0.199834
Добавлена точка: x = 1.90808, y = 0.20005
Добавлена точка: x = 1.63213, y = 0.277229
Добавлена точка: x = 1.92329, y = 0.204441
Добавлена точка: x = 1.77378, y = 0.203827
Добавлена точка: x = 1.7582, y = 0.208774
Добавлена точка: x = 2.00754, y = 0.248561
Добавлена точка: x = 1.93844, y = 0.209871
Добавлена точка: x = 1.74253, y = 0.214595
Добавлена точка: x = 1.95364, y = 0.216399
Добавлена точка: x = 1.72669, y = 0.221317
Добавлена точка: x = 1.85252, y = 0.192687
Добавлена точка: x = 1.84507, y = 0.192695
Добавлена точка: x = 1.85997, y = 0.192908
Добавлена точка: x = 1.83763, y = 0.19293
