Начальные точки:
x: 0 , y: -0.0326446
x: 10 , y: -0.404142
Итерация 1: x: 7.5 , y: -0.954053
Итерация 2: x: 4.79722 , y: -0.489573
Итерация 3: x: 6.67652 , y: -1.29634
Итерация 4: x: 6.20669 , y: -0.622906
Итерация 5: x: 2.47831 , y: -0.204371
Итерация 6: x: 8.65409 , y: -1.30714
Итерация 7: x: 3.68751 , y: -1.95448
Итерация 8: x: 3.98933 , y: -1.86683
Итерация 9: x: 3.33956 , y: -1.2218
Итерация 10: x: 1.25954 , y: -0.0647594
Итерация 11: x: 8.11896 , y: -1.45908
Итерация 12: x: 9.21984 , y: -1.78891
Итерация 13: x: 3.82801 , y: -1.85928
Итерация 14: x: 4.22976 , y: -1.38254
Итерация 15: x: 8.99416 , y: -1.22595
Итерация 16: x: 5.51532 , y: -1.18028
Итерация 17: x: 9.47114 , y: -1.59527
Итерация 18: x: 7.05395 , y: -1.54152
Итерация 19: x: 3.58696 , y: -1.95361
Итерация 20: x: 8.37369 , y: -1.54708
Итерация 21: x: 7.85217 , y: -0.914029
Итерация 22: x: 3.74971 , y: -1.91033
Итерация 23: x: 3.63731 , y: -1.97269
