Начальные точки:
x: 0 , y: -0.114163
x: 10 , y: -0.12305
Итерация 1: x: 7.5 , y: -0.311031
Итерация 2: x: 4.40455 , y: -1.2498
Итерация 3: x: 3.13842 , y: -0.130151
Итерация 4: x: 5.68688 , y: -1.04131
Итерация 5: x: 4.98677 , y: -1.85583
Итерация 6: x: 4.82589 , y: -1.62354
Итерация 7: x: 1.57198 , y: -0.476344
Итерация 8: x: 5.19579 , y: -1.56907
Итерация 9: x: 8.71745 , y: -0.268764
Итерация 10: x: 6.46699 , y: -1.73086
Итерация 11: x: 6.19633 , y: -2.1471
Итерация 12: x: 6.06897 , y: -2.22382
Итерация 13: x: 0.815247 , y: -1.18396
Итерация 14: x: 2.32724 , y: -0.128371
Итерация 15: x: 6.8688 , y: -0.700978
Итерация 16: x: 3.86193 , y: -0.338014
Итерация 17: x: 6.12645 , y: -2.23376
Итерация 18: x: 6.29804 , y: -1.95668
Итерация 19: x: 5.97345 , y: -1.98366
Итерация 20: x: 6.09847 , y: -2.24068
Итерация 21: x: 6.1548 , y: -2.20827
Итерация 22: x: 9.34765 , y: -0.901254
Итерация 23: x: 8.10551 , y: -0.945959
Итерация 24: x: 6.03947 , y: -2.17913
Итерация 25: x: 6.11193 , y: -2.23989
Итерация 26: x: 6.085 , y: -2.23629
Итерация 27: x: 6.13869 , y: -2.22477
Итерация 28: x: 6.10514 , y: -2.24091
Итерация 29: x: 6.11873 , y: -2.23767
Итерация 30: x: 6.09207 , y: -2.23926
Итерация 31: x: 6.07793 , y: -2.23179
Итерация 32: x: 6.05761 , y: -2.21
Итерация 33: x: 6.10182 , y: -2.24095
Итерация 34: x: 6.10846 , y: -2.24057
Итерация 35: x: 6.09538 , y: -2.24014
Итерация 36: x: 6.11516 , y: -2.23899
Итерация 37: x: 6.13189 , y: -2.23018
Итерация 38: x: 6.08876 , y: -2.23805
Итерация 39: x: 6.17092 , y: -2.18727
Итерация 40: x: 6.12229 , y: -2.23605
Итерация 41: x: 6.10348 , y: -2.24097
Итерация 42: x: 6.10017 , y: -2.24085
Итерация 43: x: 6.10678 , y: -2.24078
Итерация 44: x: 6.11015 , y: -2.24028
Итерация 45: x: 6.08181 , y: -2.23445
Итерация 46: x: 6.09696 , y: -2.24045
Итерация 47: x: 6.09379 , y: -2.23976
Итерация 48: x: 6.11348 , y: -2.23949
Итерация 49: x: 6.11685 , y: -2.23841
Итерация 50: x: 6.0905 , y: -2.23873
Итерация 51: x: 6.10265 , y: -2.24097
