Начальные точки:
x: 0 , y: -0.255348
x: 10 , y: -0.0919892
Итерация 1: x: 2.5 , y: -2.02957
Итерация 2: x: 5.56745 , y: -0.91076
Итерация 3: x: 3.63961 , y: -0.326363
Итерация 4: x: 7.64677 , y: -1.20439
Итерация 5: x: 1.54678 , y: -1.27998
Итерация 6: x: 6.65623 , y: -1.15021
Итерация 7: x: 8.63731 , y: -1.00637
Итерация 8: x: 2.14878 , y: -1.7911
Итерация 9: x: 2.7849 , y: -1.76514
Итерация 10: x: 4.69032 , y: -0.27506
Итерация 11: x: 2.3598 , y: -2.20649
Итерация 12: x: 0.903525 , y: -1.24406
Итерация 13: x: 2.40743 , y: -2.17349
Итерация 14: x: 2.30705 , y: -2.18179
Итерация 15: x: 7.15698 , y: -0.586884
Итерация 16: x: 6.13609 , y: -1.20562
Итерация 17: x: 8.12198 , y: -0.639019
Итерация 18: x: 1.89954 , y: -1.1897
Итерация 19: x: 9.22605 , y: -0.2851
Итерация 20: x: 2.61567 , y: -1.88309
Итерация 21: x: 2.33593 , y: -2.20393
Итерация 22: x: 2.38028 , y: -2.19797
Итерация 23: x: 2.34812 , y: -2.20699
